J1	J2	J3	J4	J5	J6	J7
-22.4	-35.	144.	114.	-79.5	-88.	0
-17.8	-35.	139.	121.	-81.4	-88.	0
-13.2	-35.	134.	127.	-82.6	-88.	0
-8.64	-35.	129.	132.	-82.9	-88.	0
-4.05	-35.	123.	137.	-82.2	-88.	0
0.543	-35.	116.	142.	-80.1	-88.	0
5.13	-35.	109.	145.	-76.2	-88.	0
9.72	-35.	101.	147.	-70.2	-88.	0
14.3	-35.	91.6	148.	-61.8	-88.	0
18.9	-35.	81.7	148.	-51.4	-88.	0
18.9	-25.3	86.7	150.	-60.9	-76.6	0
18.9	-17.2	91.8	150.	-68.9	-67.	0
18.9	-10.5	96.2	149.	-74.8	-59.1	0
18.9	-4.75	99.9	148.	-78.8	-52.4	0
18.9	0.125	103.	145.	-81.4	-46.8	0
18.9	4.37	105.	143.	-82.8	-42.	0
18.9	8.14	107.	140.	-83.4	-37.7	0
18.9	11.5	109.	136.	-83.4	-33.9	0
18.9	14.6	111.	133.	-82.9	-30.5	0
18.9	17.4	112.	130.	-82.2	-27.4	0
18.9	14.4	112.	130.	-82.2	-27.4	0
18.9	12.4	112.	130.	-82.2	-27.4	0
18.9	10.4	112.	130.	-82.2	-27.4	0
18.9	8.40	112.	130.	-82.2	-27.4	0
18.9	6.40	112.	130.	-82.2	-27.4	0
18.9	2.40	112.	130.	-82.2	-27.4	0
18.9	0.40	112.	130.	-82.2	-27.4	0
18.9	-2.4	112.	130.	-82.2	-27.4	0
18.9	-4.4	112.	130.	-82.2	-27.4	0
18.9	-6.4	112.	130.	-82.2	-27.4	0
18.9	-8.4	112.	130.	-82.2	-27.4	0
18.9	-10.4	112.	130.	-82.2	-27.4	0
18.9	-15.4	112.	130.	-82.2	-27.4	0
18.9	-18.4	112.	130.	-82.2	-27.4	0
18.9	-20.4	112.	130.	-82.2	-27.4	0
18.9	-22.4	112.	130.	-82.2	-27.4	0
18.9	-26.4	112.	130.	-82.2	-27.4	0
18.9	-28.4	112.	130.	-82.2	-27.4	0
18.9	-30.4	112.	130.	-82.2	-27.4	0
18.9	-32.4	112.	130.	-82.2	-27.4	0
18.9	-34.4	112.	130.	-82.2	-27.4	0
18.9	-36.4	112.	130.	-82.2	-27.4	0
18.9	-38.4	112.	130.	-82.2	-27.4	0
18.9	-40.4	112.	130.	-82.2	-27.4	0
18.9	-42.4	112.	130.	-82.2	-27.4	0
18.9	-44.4	112.	130.	-82.2	-27.4	0
18.9	-48.4	112.	130.	-82.2	-27.4	0
18.9	-50.4	112.	130.	-82.2	-27.4	0
18.9	-52.4	112.	130.	-82.2	-27.4	0
18.9	-54.4	112.	130.	-82.2	-27.4	0
18.9	-56.4	112.	130.	-82.2	-27.4	0
18.9	-58.4	112.	130.	-82.2	-27.4	0
18.9	-60.4	112.	130.	-82.2	-27.4	0
18.9	-62.4	112.	130.	-82.2	-27.4	0
18.9	-64.4	112.	130.	-82.2	-34.4	0
18.9	-64.4	112.	130.	-82.2	-40.4	0
18.9	-64.4	112.	130.	-82.2	-50.4	0
18.9	-64.4	112.	130.	-82.2	-60.4	0
18.9	-64.4	112.	130.	-82.2	-70.4	0
18.9	-64.4	112.	130.	-82.2	-80.4	0
18.9	-64.4	112.	130.	-82.2	-90.0	0
18.9	-64.4	112.	130.	-82.2	-90.0	0
18.9	-64.4	112.	130.	-77.2	-90.0	0
18.9	-64.4	112.	130.	-72.2	-90.0	0
18.9	-64.4	112.	130.	-67.2	-90.0	0
18.9	-64.4	112.	130.	-62.2	-90.0	0
18.9	-64.4	112.	130.	-57.2	-90.0	0
18.9	-64.4	112.	130.	-52.2	-90.0	0
18.9	-64.4	112.	130.	-47.2	-90.0	0
18.9	-64.7	114.	125.	-47.2	-90.3	0
18.9	-65.	116.	120.	-47.2	-90.5	0
18.9	-65.3	119.	115.	-47.2	-90.7	0
18.9	-65.5	121.	110.	-47.2	-90.9	0
18.9	-65.7	123.	105.	-47.2	-91.1	0
18.9	-65.9	126.	99.7	-47.2	-91.3	0
18.9	-66.1	128.	94.1	-47.2	-91.4	0
18.9	-66.3	131.	88.2	-47.2	-91.6	0
18.9	-66.4	133.	82.0	-47.2	-91.7	0
18.9	-66.5	136.	75.4	-47.2	-91.8	0
